Series ID,Year,Period,Value
LNS11300012,1948,M01,"53,2"
LNS11300012,1948,M02,"53,7"
LNS11300012,1948,M03,"54,1"
LNS11300012,1948,M04,"54,2"
LNS11300012,1948,M05,"50,9"
LNS11300012,1948,M06,"53,8"
LNS11300012,1948,M07,"52,6"
LNS11300012,1948,M08,"51,5"
LNS11300012,1948,M09,"51,5"
LNS11300012,1948,M10,"50,6"
LNS11300012,1948,M11,"51,0"
LNS11300012,1948,M12,"53,1"
LNS11300012,1949,M01,"52,8"
LNS11300012,1949,M02,"53,7"
LNS11300012,1949,M03,"54,5"
LNS11300012,1949,M04,"53,0"
LNS11300012,1949,M05,"53,4"
LNS11300012,1949,M06,"49,8"
LNS11300012,1949,M07,"50,3"
LNS11300012,1949,M08,"51,7"
LNS11300012,1949,M09,"53,1"
LNS11300012,1949,M10,"52,5"
LNS11300012,1949,M11,"52,9"
LNS11300012,1949,M12,"52,6"
LNS11300012,1950,M01,"51,9"
LNS11300012,1950,M02,"51,7"
LNS11300012,1950,M03,"50,2"
LNS11300012,1950,M04,"50,8"
LNS11300012,1950,M05,"50,9"
LNS11300012,1950,M06,"50,4"
LNS11300012,1950,M07,"50,8"
LNS11300012,1950,M08,"52,0"
LNS11300012,1950,M09,"52,5"
LNS11300012,1950,M10,"53,5"
LNS11300012,1950,M11,"52,6"
LNS11300012,1950,M12,"52,5"
LNS11300012,1951,M01,"51,4"
LNS11300012,1951,M02,"51,0"
LNS11300012,1951,M03,"53,3"
LNS11300012,1951,M04,"50,9"
LNS11300012,1951,M05,"52,6"
LNS11300012,1951,M06,"51,3"
LNS11300012,1951,M07,"52,6"
LNS11300012,1951,M08,"53,0"
LNS11300012,1951,M09,"52,7"
LNS11300012,1951,M10,"52,4"
LNS11300012,1951,M11,"51,9"
LNS11300012,1951,M12,"52,9"
LNS11300012,1952,M01,"52,2"
LNS11300012,1952,M02,"51,8"
LNS11300012,1952,M03,"50,9"
LNS11300012,1952,M04,"50,7"
LNS11300012,1952,M05,"52,3"
LNS11300012,1952,M06,"52,8"
LNS11300012,1952,M07,"51,2"
LNS11300012,1952,M08,"50,0"
LNS11300012,1952,M09,"50,5"
LNS11300012,1952,M10,"50,2"
LNS11300012,1952,M11,"51,4"
LNS11300012,1952,M12,"51,1"
LNS11300012,1953,M01,"52,4"
LNS11300012,1953,M02,"54,0"
LNS11300012,1953,M03,"53,1"
LNS11300012,1953,M04,"51,8"
LNS11300012,1953,M05,"49,5"
LNS11300012,1953,M06,"50,9"
LNS11300012,1953,M07,"49,5"
LNS11300012,1953,M08,"49,6"
LNS11300012,1953,M09,"49,1"
LNS11300012,1953,M10,"48,2"
LNS11300012,1953,M11,"48,9"
LNS11300012,1953,M12,"49,2"
LNS11300012,1954,M01,"50,9"
LNS11300012,1954,M02,"51,4"
LNS11300012,1954,M03,"51,7"
LNS11300012,1954,M04,"50,1"
LNS11300012,1954,M05,"48,6"
